"Name","order","gene","median_FC","sample","mouse_index"
"Polr2a-26",29,"Polr2a",0.23423898707465,"A310-thymus","A310"
"Pten-19",30,"Pten",8.03835616438356,"A310-thymus","A310"
"Cd45-11",31,"Cd45",8.93364146583031,"A310-thymus","A310"
"Trp53-22",32,"Trp53",5.27031019202363,"A310-thymus","A310"
"Cd19-17",33,"Cd19",3.40095918921365,"A310-thymus","A310"
"Kpnb1-10",34,"Kpnb1",0.453686200378072,"A310-thymus","A310"
"Polr2a-3",35,"Polr2a",1.73788721207307,"A310-thymus","A310"
"Pten-35",36,"Pten",27.4098898523553,"A310-thymus","A310"
"Cd45-13",37,"Cd45",8.36290784201488,"A310-thymus","A310"
"Trp53-10",38,"Trp53",4.94842225319985,"A310-thymus","A310"
"Cd19-32",39,"Cd19",0.603906387471406,"A310-thymus","A310"
"Kpnb1-12",40,"Kpnb1",0.381661891117479,"A310-thymus","A310"
"Polr2a-22",41,"Polr2a",0.677880994225458,"A310-thymus","A310"
"Pten-30",42,"Pten",48.619624217119,"A310-thymus","A310"
"Cd45-20",43,"Cd45",9.82021078735276,"A310-thymus","A310"
"Trp53-14",44,"Trp53",0.938012762078396,"A310-thymus","A310"
"Cd19-21",45,"Cd19",0.812209688122097,"A310-thymus","A310"
"Kpnb1-16",46,"Kpnb1",0.203562340966921,"A310-thymus","A310"
"Polr2a-23",47,"Polr2a",0.586624951114587,"A310-thymus","A310"
"Pten-33",48,"Pten",17.5491616642517,"A310-thymus","A310"
"Cd45-14",49,"Cd45",0.624089868941128,"A310-thymus","A310"
"Trp53-35",50,"Trp53",0.775849056603774,"A310-thymus","A310"
"Cd19-30",51,"Cd19",0.946908182386009,"A310-thymus","A310"
"Kpnb1-14",52,"Kpnb1",0.0742486741308191,"A310-thymus","A310"
"Polr2a-28",53,"Polr2a",0.518582541054451,"A310-thymus","A310"
"Pten-34",54,"Pten",53.0430733410943,"A310-thymus","A310"
"Cd45-29",55,"Cd45",1.36078299021262,"A310-thymus","A310"
