"Name","organ","mouse_index","fold change"
"Adar","Ear lobe","8",0.318690873678353
"Adar","Eyeball","8",0.181618330937685
"Adar","Heart","8",0.506347413598374
"Adar","Kidney","8",0.388163541901965
"Adar","Large intestine(basal layer)","8",0.216387219234419
"Adar","Large intestine(epithelium)","8",0.116242396936247
"Adar","LN","8",0.054171124390053
"Adar","Lung","8",0.303320533092388
"Adar","Oral mucosa","8",0.230573945940564
"Adar","Dorsal epidermis","8",0.251005195391913
"Adar","Small intestine(basal layer)","8",0.146521702199949
"Adar","Small intestine(epithelium)","8",0.0593731419349359
"Adar","Spleen","8",0.0539738226959924
"Adar","B cell","8",0.0279314532451761
"Adar","CD4 effector/memory","8",0.0631578947368421
"Adar","CD4 naive","8",0.00936136119251934
"Adar","CD8 central memory","8",0.0398056942382944
"Adar","CD8 effector/memory","8",0.0618000269869113
"Adar","CD8 naive","8",0.0340945641685429
"Adar","Treg","8",0.0899932234018523
"Adar","Tail epidermis","8",0.178248549453515
"Adar","Thyroid","8",0.174442218691718
"Adar","Tongue","8",0.384639710865146
"Adar","mFat","8",0.293127479360995
"Adar","pFat","8",0.340783513365523
"Adar","Cerebellum","8",0.568445083284011
"Adar","Crude testis","A221",2.03883757603064
"Adar","Spermatogonia","A221",2.26889426247527
"Adar","Meiosis II","A221",1.70736450494631
"Adar","Round spermatid","A221",3.10001333511135
"Adar","Sperm","A221",1.68599731196177
"Adar","Pachytene/Diplotene","A221",2.08740382501649
"Chd8","LN","264",0.39083279535184
"Chd8","Epididymis","264",0.935904743152637
"Chd8","Heart","264",1.55630163035007
"Chd8","Kidney","264",1.1888120922421
"Chd8","Large intestine(crude)","264",0.404281998404095
"Chd8","Lung","264",0.866789505642915
"Chd8","Small intestine(basal layer)","264",0.474605428148025
"Chd8","Spleen","264",0.414555877496339
"Chd8","Tail epidermis","264",0.47740344259407
"Chd8","Crude testis","264",0.0937645729919065
"Chd8","Spermatogonia","264",0.105143165072489
"Chd8","Meiosis II","264",0.0457009026187343
"Chd8","Round spermatid","264",0.0542193021544711
"Chd8","Sperm","264",0.183363213364146
"Chd8","Pachytene/Diplotene","264",0.062551167393805
"Chd8","Crude tail","264",0.719754277963272
"Chd8","Cerebellum","264",1.6869539985699
"Chd8","LN","385",0.307035451879333
"Chd8","Cerebrum","385",1.58299221737463
"Chd8","Epididymis","385",0.329046498854887
"Chd8","Dorsal skin dermis","385",0.561219519777817
"Chd8","Ear lobe","385",0.445257365513954
"Chd8","Eyeball","385",0.711193094085826
"Chd8","Heart","385",0.928070302703711
"Chd8","Kidney","385",0.704602215612921
"Chd8","Large intestine(basal layer)","385",0.528016415018083
"Chd8","Large intestine(epithelium)","385",0.267303102625298
"Chd8","Liver","385",1.16177351372229
