"Name","type","organ","median_FC","mouse_index"
"26-Ets2","unknown","39-Meiosis II",0.71828665568369,"264"
"82-Hdac3","unknown","39-Meiosis II",0.00714626012386851,"264"
"92-Mcrs1","unknown","39-Meiosis II",0.00147094876195146,"264"
"86-Pnkp","unknown","39-Meiosis II",0,"264"
"36-Psen1","unknown","39-Meiosis II",0.0239640539191213,"264"
"15-Slk","unknown","39-Meiosis II",0.178051511758119,"264"
"84-Tra2b","unknown","39-Meiosis II",0.0105944673337257,"264"
"90-Wtap","unknown","39-Meiosis II",0.00440744368266406,"264"
"06-NC4","control","39-Meiosis II",1.0362197169585,"264"
"66-Arid4b","unknown","39-Meiosis II",0.00711111111111111,"264"
"49-Ddx11","unknown","39-Meiosis II",0.0204509701101206,"264"
"42-Fbxl5","unknown","39-Meiosis II",0.00999722299361289,"264"
"27-Hdac7","unknown","39-Meiosis II",0.332463011314186,"264"
"24-Mfn2","unknown","39-Meiosis II",0.00145172997822405,"264"
"74-Pno1","unknown","39-Meiosis II",0,"264"
"43-Ptbp1","unknown","39-Meiosis II",0.00481927710843374,"264"
"52-Sprtn","unknown","39-Meiosis II",0.0112691172524819,"264"
"44-Trim28","unknown","39-Meiosis II",0.00536672629695885,"264"
"29-Ybx1","unknown","39-Meiosis II",0.327570518653321,"264"
"04-NC5","control","39-Meiosis II",0.969363331737674,"264"
"28-Asf1a","unknown","39-Meiosis II",0.764797507788162,"264"
"94-Ddx24","unknown","39-Meiosis II",0.00193923723335488,"264"
"32-Fth1","unknown","39-Meiosis II",0.196551724137931,"264"
"70-Hsp90ab1","unknown","39-Meiosis II",0.00170406134620846,"264"
"02-Morf4l2","unknown","39-Meiosis II",0.474761255115962,"264"
"55-Ppp2r1a","unknown","39-Meiosis II",0.565734681737061,"264"
"50-Ptma","unknown","39-Meiosis II",0.0505171999037768,"264"
"69-Strap","unknown","39-Meiosis II",0,"264"
"35-Tsc2","unknown","39-Meiosis II",0.0300157977883096,"264"
"61-Ythdc1","unknown","39-Meiosis II",0.0844264249940377,"264"
"01-NC6","control","39-Meiosis II",1.47481181239143,"264"
"10-Atg13","unknown","39-Meiosis II",0.123903818953324,"264"
"21-Derl1","unknown","39-Meiosis II",0.223298033282905,"264"
"17-Ggnbp2","unknown","39-Meiosis II",0.168336673346693,"264"
"97-Hspa9","unknown","39-Meiosis II",0.00371747211895911,"264"
"11-Mov10","unknown","39-Meiosis II",0.00203183203521842,"264"
"41-Ppp6c","unknown","39-Meiosis II",0.0464936071290198,"264"
"40-Rere","unknown","39-Meiosis II",0,"264"
"59-Tardbp","unknown","39-Meiosis II",0.00169300225733634,"264"
"33-Tsg101","unknown","39-Meiosis II",0.0973557692307692,"264"
"18-Zfp110","unknown","39-Meiosis II",0.372501514233798,"264"
"03-NC7","control","39-Meiosis II",0.804123711340206,"264"
"60-Brd4","unknown","39-Meiosis II",0.0354743348562215,"264"
"45-Dhx30","unknown","39-Meiosis II",0,"264"
"72-Gnl3","unknown","39-Meiosis II",0.00196979645436638,"264"
"93-Hspd1","unknown","39-Meiosis II",0.0043956043956044,"264"
"87-Nsrp1","unknown","39-Meiosis II",0.0257936507936508,"264"
"20-Prkaca","unknown","39-Meiosis II",0.0604229607250755,"264"
"58-Rhoa","unknown","39-Meiosis II",0.00250417362270451,"264"
"39-Tax1bp1","unknown","39-Meiosis II",0.450879765395894,"264"
"19-Upf3a","unknown","39-Meiosis II",0.0541666666666667,"264"
"91-Zpr1","unknown","39-Meiosis II",0.0217155266015201,"264"
"05-NC8","control","39-Meiosis II",1.74042829331603,"264"
"30-Ccm2","unknown","39-Meiosis II",0.116895560523794,"264"
"83-Dkc1","unknown","39-Meiosis II",0,"264"
"71-Ndufa13","unknown","39-Meiosis II",0.00209205020920502,"264"
"57-Impdh2","unknown","39-Meiosis II",0.199011997177135,"264"
"98-Mcm3ap","unknown","39-Meiosis II",0,"264"
"12-Pdha1","unknown","39-Meiosis II",0.0766229159276339,"264"
"13-Prkacb","unknown","39-Meiosis II",0.388195232690125,"264"
"73-Rnaseh1","unknown","39-Meiosis II",0.0312934631432545,"264"
"14-Tbx6","unknown","39-Meiosis II",0.126083530338849,"264"
"53-Use1","unknown","39-Meiosis II",0.0884661117717004,"264"
"54-Adar","unknown","36-Pachytene/Diplotene",2.89147369544339,"264"
"64-Chd8","unknown","36-Pachytene/Diplotene",0.062551167393805,"264"
"79-Dnmt1","unknown","36-Pachytene/Diplotene",0.0129744811951404,"264"
"48-Gpi1","unknown","36-Pachytene/Diplotene",0.317816420052152,"264"
"25-Jup","unknown","36-Pachytene/Diplotene",0.682102107104189,"264"
"80-Phb","unknown","36-Pachytene/Diplotene",0.00427981109799292,"264"
"77-Prmt5","unknown","36-Pachytene/Diplotene",0.00852391431516198,"264"
"68-Rnaseh2c","unknown","36-Pachytene/Diplotene",0.0240705057333291,"264"
"75-Tex10","unknown","36-Pachytene/Diplotene",0.0601947477131897,"264"
"76-Usp7","unknown","36-Pachytene/Diplotene",0.004349507055867,"264"
"09-NC1","control","36-Pachytene/Diplotene",0.906432748538012,"264"
"88-Akirin2","unknown","36-Pachytene/Diplotene",0.0225478191107546,"264"
"78-Clp1","unknown","36-Pachytene/Diplotene",0.00559407959909096,"264"
"22-Dnmt3b","unknown","36-Pachytene/Diplotene",0.145012056300118,"264"
"37-Gtf2i","unknown","36-Pachytene/Diplotene",0.120510134926992,"264"
"38-Kidins220","unknown","36-Pachytene/Diplotene",0.195294457274827,"264"
"81-Phb2","unknown","36-Pachytene/Diplotene",0.069648661197957,"264"
"95-Prpf3","unknown","36-Pachytene/Diplotene",0.00499085010813509,"264"
"56-Sdhd","unknown","36-Pachytene/Diplotene",0.0193687230989957,"264"
