Name,type,organ,mouse_index,median_FC
Trp53rkb,unknown,03-Cerebellum flocculus,J111,0.903025817
Fbl,unknown,03-Cerebellum flocculus,J111,0.835846394
Tyw5,unknown,03-Cerebellum flocculus,J111,0.882548557
Trmu,unknown,03-Cerebellum flocculus,J111,1.405415983
Ftsj1,unknown,03-Cerebellum flocculus,J111,1.193641327
Mrm1,unknown,03-Cerebellum flocculus,J111,1.058669401
NC1,control,03-Cerebellum flocculus,J111,1.023854471
Cmtr2,unknown,03-Cerebellum flocculus,J111,1.221034729
Ythdf1-1,unknown,03-Cerebellum flocculus,J111,1.289906726
Fto-2,unknown,03-Cerebellum flocculus,J111,1.266602911
Lage3,unknown,03-Cerebellum flocculus,J111,0.788331726
Alkbh3-3,unknown,03-Cerebellum flocculus,J111,0.922859239
Adat2,unknown,03-Cerebellum flocculus,J111,1.174526316
Osgep,unknown,03-Cerebellum flocculus,J111,0.183060831
Pus10,unknown,03-Cerebellum flocculus,J111,1.020530589
Nsun2,unknown,03-Cerebellum flocculus,J111,0.9376836
NC2,control,03-Cerebellum flocculus,J111,1.352755613
Rnmt,unknown,03-Cerebellum flocculus,J111,1.053479544
Pus7,unknown,03-Cerebellum flocculus,J111,0.880052293
Mettl3-3,unknown,03-Cerebellum flocculus,J111,1.136313221
Trmt5,unknown,03-Cerebellum flocculus,J111,0.736403016
Mettl14,unknown,03-Cerebellum flocculus,J111,1.113099257
Qtrt1,unknown,03-Cerebellum flocculus,J111,0.973850061
Trmo,unknown,03-Cerebellum flocculus,J111,1.08583909
Mrm2,unknown,03-Cerebellum flocculus,J111,0.91926166
Dimt1,unknown,03-Cerebellum flocculus,J111,0.894456522
NC3,control,03-Cerebellum flocculus,J111,0.844628357
Nsun4,unknown,03-Cerebellum flocculus,J111,0.816617267
Dcps,unknown,03-Cerebellum flocculus,J111,1.130428551
Ctu1,unknown,03-Cerebellum flocculus,J111,0.926172064
Trmt10c,unknown,03-Cerebellum flocculus,J111,0.44280868
