"Name","serial_number","order","gene","median_FC","median_reads","organ","sample","mouse_index"
"Kpnb1-8","h",46,"Kpnb1",0.515221137277427,299,"Heart","39-Heart","39"
"Polr2a-8","h",47,"Polr2a",0.89251040221914,429,"Heart","39-Heart","39"
"Pten-8","h",48,"Pten",1.70765832106038,773,"Heart","39-Heart","39"
"Cd45-8","h",49,"Cd45",0.761258041458184,355,"Heart","39-Heart","39"
"Trp53-9","i",50,"Trp53",1.25085616438356,487,"Heart","39-Heart","39"
"Cd19-9","i",51,"Cd19",0.72552783109405,378,"Heart","39-Heart","39"
"Kpnb1-9","i",52,"Kpnb1",0.513011152416357,184,"Heart","39-Heart","39"
"Polr2a-9","i",53,"Polr2a",0.753173483779972,267,"Heart","39-Heart","39"
"Pten-9","i",54,"Pten",3.77840909090909,1330,"Heart","39-Heart","39"
"Cd45-9","i",55,"Cd45",1.38758782201405,395,"Heart","39-Heart","39"
"Trp53-10","j",56,"Trp53",0.953145917001339,356,"Heart","39-Heart","39"
"Cd19-10","j",57,"Cd19",0.907508161044614,417,"Heart","39-Heart","39"
"Kpnb1-10","j",58,"Kpnb1",0.422897196261682,181,"Heart","39-Heart","39"
"Polr2a-10","j",59,"Polr2a",0.747378455672069,392,"Heart","39-Heart","39"
"Pten-10","j",60,"Pten",4.31128404669261,2216,"Heart","39-Heart","39"
"Cd45-10","j",61,"Cd45",1.28168612930789,750,"Heart","39-Heart","39"
"Trp53-1","a",2,"Trp53",5.82813331913534,27366,"Liver","39-Liver","39"
"Cd19-1","a",3,"Cd19",1.29810041663724,45956,"Liver","39-Liver","39"
"Kpnb1-1","a",4,"Kpnb1",0.385209808858734,10352,"Liver","39-Liver","39"
"Polr2a-1","a",5,"Polr2a",0.442253965392934,6543,"Liver","39-Liver","39"
"Pten-1","a",6,"Pten",6.57985998922994,61094,"Liver","39-Liver","39"
"Cd45-1","a",7,"Cd45",1.49813499111901,11246,"Liver","39-Liver","39"
"Trp53-2","b",8,"Trp53",4.63736774022356,23302,"Liver","39-Liver","39"
"Cd19-2","b",9,"Cd19",1.3265,5306,"Liver","39-Liver","39"
"Kpnb1-2","b",10,"Kpnb1",0.532692029509619,2455,"Liver","39-Liver","39"
"Polr2a-2","b",11,"Polr2a",0.363878799025243,1319,"Liver","39-Liver","39"
"Pten-2","b",12,"Pten",8.185303514377,26901,"Liver","39-Liver","39"
"Cd45-2","b",13,"Cd45",1.399235390497,4697,"Liver","39-Liver","39"
"Trp53-3","c",14,"Trp53",1.86915120669841,3795,"Liver","39-Liver","39"
"Cd19-3","c",15,"Cd19",0.666267225883763,1668,"Liver","39-Liver","39"
"Kpnb1-3","c",16,"Kpnb1",0.385209808858734,10352,"Liver","39-Liver","39"
"Polr2a-3","c",17,"Polr2a",0.52662120992311,1210,"Liver","39-Liver","39"
"Pten-3","c",18,"Pten",10.8932038834951,20944,"Liver","39-Liver","39"
"Cd45-3","c",19,"Cd45",1.11849644739858,2440,"Liver","39-Liver","39"
"Trp53-4","d",20,"Trp53",2.37519230769231,4117,"Liver","39-Liver","39"
"Cd19-4","d",21,"Cd19",0.95067656045395,1452,"Liver","39-Liver","39"
"Kpnb1-4","d",22,"Kpnb1",0.355521792802203,624,"Liver","39-Liver","39"
"Polr2a-4","d",23,"Polr2a",0.374685666387259,447,"Liver","39-Liver","39"
"Pten-4","d",24,"Pten",7.18828049951969,7483,"Liver","39-Liver","39"
"Cd45-4","d",25,"Cd45",1.04232283464567,1059,"Liver","39-Liver","39"
"Trp53-5","e",26,"Trp53",2.45443196004994,2949,"Liver","39-Liver","39"
"Cd19-5","e",27,"Cd19",1.15357458075905,1307,"Liver","39-Liver","39"
"Kpnb1-5","e",28,"Kpnb1",0.376761175856671,361,"Liver","39-Liver","39"
"Polr2a-5","e",29,"Polr2a",0.505376344086022,423,"Liver","39-Liver","39"
"Pten-5","e",30,"Pten",7.10519852640196,5786,"Liver","39-Liver","39"
"Cd45-5","e",31,"Cd45",1.20367534456355,917,"Liver","39-Liver","39"
"Trp53-6","f",32,"Trp53",2.59680696661829,1491,"Liver","39-Liver","39"
"Cd19-6","f",33,"Cd19",1.05425017277125,1017,"Liver","39-Liver","39"
"Kpnb1-6","f",34,"Kpnb1",0.813534917206624,565,"Liver","39-Liver","39"
"Polr2a-6","f",35,"Polr2a",0.590627763041556,334,"Liver","39-Liver","39"
"Pten-6","f",36,"Pten",6.5627088438405,4910,"Liver","39-Liver","39"
"Cd45-6","f",37,"Cd45",0.967792207792208,621,"Liver","39-Liver","39"
"Trp53-7","g",38,"Trp53",1.46155531215772,1112,"Liver","39-Liver","39"
"Cd19-7","g",39,"Cd19",0.656683909610672,402,"Liver","39-Liver","39"
"Kpnb1-7","g",40,"Kpnb1",0.604263660867434,411,"Liver","39-Liver","39"
"Polr2a-7","g",41,"Polr2a",1.09078711985689,813,"Liver","39-Liver","39"
"Pten-7","g",42,"Pten",7.56168582375479,4934,"Liver","39-Liver","39"
"Cd45-7","g",43,"Cd45",1.19214876033058,577,"Liver","39-Liver","39"
"Trp53-8","h",44,"Trp53",2.1544227886057,958,"Liver","39-Liver","39"
"Cd19-8","h",45,"Cd19",0.835726593911545,485,"Liver","39-Liver","39"
"Kpnb1-8","h",46,"Kpnb1",0.46869615163699,272,"Liver","39-Liver","39"
"Polr2a-8","h",47,"Polr2a",1.21914008321775,586,"Liver","39-Liver","39"
"Pten-8","h",48,"Pten",3.77761413843888,1710,"Liver","39-Liver","39"
"Cd45-8","h",49,"Cd45",0.741958541815583,346,"Liver","39-Liver","39"
"Trp53-9","i",50,"Trp53",1.10188356164384,429,"Liver","39-Liver","39"
"Cd19-9","i",51,"Cd19",1.18042226487524,615,"Liver","39-Liver","39"
"Kpnb1-9","i",52,"Kpnb1",0.172862453531599,62,"Liver","39-Liver","39"
"Polr2a-9","i",53,"Polr2a",0.485190409026798,172,"Liver","39-Liver","39"
"Pten-9","i",54,"Pten",13.9829545454545,4922,"Liver","39-Liver","39"
"Cd45-9","i",55,"Cd45",3.18969555035129,908,"Liver","39-Liver","39"
"Trp53-10","j",56,"Trp53",0.926372155287818,346,"Liver","39-Liver","39"
"Cd19-10","j",57,"Cd19",0.792165397170838,364,"Liver","39-Liver","39"
"Kpnb1-10","j",58,"Kpnb1",0.116822429906542,50,"Liver","39-Liver","39"
"Polr2a-10","j",59,"Polr2a",0.446139180171592,234,"Liver","39-Liver","39"
